Filesystem          kbytes    used   avail %used Mounted on
/dev/vg00/lvol3     753664  488344  263968   65% /
/dev/vg00/lvol1     576595  235221  283714   45% /stand
/dev/vg01/lvol2    786432000 450748416 314765549   59% /work
/dev/vg00/lvol7    5996544 3317120 2662320   55% /var
/dev/vg01/lvol4    256049152 12095235 228744458    5% /utilloc
/dev/vg00/lvol6    6422528 3151000 3245976   49% /usr
/dev/vg00/lvol5    1048576  320696  724136   31% /tmp
/dev/vg01/lvol3    419430400 69924597 327665176   18% /temp
/dev/vg00/lvol9    41943040 9260688 30639749   23% /sas
/dev/vg00/lvol10   41943040  640339 38727259    2% /sas/install
/dev/vg00/lvol4    7766016 5921088 1830544   76% /opt
/dev/vg01/lvol7    41943040   96793 39289032    0% /logs
/dev/vg00/lvol8     229376  135024   93672   59% /home
/dev/vg01/lvol9    425984000 345556103 75590987   82% /ftproot2
/dev/vg04/lvol1    2147450880 1328930421 767413725   63% /ftproot
/dev/vg01/lvol5    1026031616 866400507 149736259   85% /data2
/dev/vg03/lvol1    2147450880 1081552099 999280117   52% /data1
/dev/vg01/lvol1    2097152000 929294196 1094892230   46% /data
/dev/vg01/lvol8    41943040 17879906 22559251   44% /config
/dev/vg05/lvol1    2147450880 1224578288 865193078   59% /archive
/dev/vg02/lvol1    31457280 7881558 22102355   26% /app/sas/software
/dev/vg02/lvol2    20971520 6624811 13460896   33% /app/sas/config
/dev/vg02/lvol3    52412416 29060277 21906771   57% /app/depot
CATEBI1:/data/trigger_file
                   1048576000 809140664 224478320   78% /data/trigger_file
