Filesystem          kbytes    used   avail %used Mounted on
/dev/vg00/lvol3     753664  492320  259992   65% /
/dev/vg00/lvol1     576595  235225  283710   45% /stand
/dev/vg01/lvol2    786432000 47480307 692829405    6% /work
/dev/vg00/lvol7    5996544 3981480 2003048   67% /var
/dev/vg01/lvol4    256049152  119056 239972147    0% /utilloc
/dev/vg00/lvol6    6422528 3151000 3245976   49% /usr
/dev/vg00/lvol5    1048576  286904  757664   27% /tmp
/dev/vg01/lvol3    419430400 214524393 192115536   53% /temp
/dev/vg00/lvol9    41943040 9260688 30639749   23% /sas
/dev/vg00/lvol10   41943040  640339 38727259    2% /sas/install
/dev/vg00/lvol4    7766016 6093848 1659112   79% /opt
/dev/vg01/lvol7    41943040   96793 39289032    0% /logs
/dev/vg00/lvol8     229376  138416   90304   61% /home
/dev/vg01/lvol9    425984000 19248353 381541811    5% /ftproot2
/dev/vg04/lvol1    2147450880 762554237 1298456791   37% /ftproot
/dev/vg01/lvol5    1026031616 12223356 950527673    1% /data2
/dev/vg03/lvol1    2147450880 893760074 1175335176   43% /data1
/dev/vg01/lvol1    2097152000 1202420033 838837018   59% /data
/dev/vg01/lvol8    41943040 17879906 22559251   44% /config
/dev/vg05/lvol1    2147450880 738666008 1320839447   36% /archive
/dev/vg02/lvol1    31457280 8042537 21951423   27% /app/sas/software
/dev/vg02/lvol2    20971520 6938297 13166179   35% /app/sas/config
/dev/vg02/lvol3    52412416 29060277 21906771   57% /app/depot
CATEBI1:/data/trigger_file
                   1048576000 67627240 919647328    7% /data/trigger_file
