Filesystem          kbytes    used   avail %used Mounted on
/dev/vg00/lvol3     753664  531456  220520   71% /
/dev/vg00/lvol1     576595  232076  286859   45% /stand
/dev/vg01/lvol2    1310392320  340529 1228175663    0% /work
/dev/vg01/lvol6    41943040   27361 39295957    0% /version
/dev/vg00/lvol7    5996544 3846384 2136208   64% /var
/dev/vg01/lvol4    62914560 2538096 56603439    4% /utilloc
/dev/vg00/lvol6    6422528 2892144 3502904   45% /usr
/dev/vg01/lvol5    157286400   55632 147403852    0% /user
/dev/vg00/lvol5    1048576 1042984    5592   99% /tmp
/dev/vg01/lvol3    209715200 81464163 120235755   40% /temp
/dev/vg00/lvol9    41943040 5983355 33712217   15% /sas
/dev/vg00/lvol10   41943040 2325374 37145690    6% /sas/install
/dev/vg00/lvol4    7766016 5791992 1958624   75% /opt
/dev/vg01/lvol7    41943040   27361 39295957    0% /logs
/dev/vg00/lvol8     229376   17536  210208    8% /home
/dev/vg01/lvol1    1048576000 119677294 870850151   12% /data
/dev/vg01/lvol8    41943040 2273673 37190066    6% /config
/dev/vg02/lvol1    31457280 8241767 21773364   27% /app/sas/software
/dev/vg02/lvol2    20971520  317553 19363870    2% /app/sas/config
/dev/vg02/lvol3    52412416 38987774 12585662   76% /app/depot
